time,PM2.5,PM2.5(t-1),PM2.5(t-3),PM2.5(t-6),PM2.5(t-12),PM2.5(t-24),Wind Speed(t-3),Relative Humidity(t-2),Temperature(t-6),Cloud Cover(t-2),Precipitation(t-1),PM2.5_rolling_mean_24h,PM2.5_rolling_std_24h,Hour,Month,Weekend,ISO Week,Weekday_Friday,Weekday_Monday,Weekday_Saturday,Weekday_Sunday,Weekday_Thursday,Weekday_Tuesday,Weekday_Wednesday,Season_Fall,Season_Spring,Season_Summer,Season_Winter
2024-01-01 19:00:00-05:00,20.4,28.8,10.6,5.7,19.9,19.3,8.0,72.0,7.7,4.0,0.0,19.22083333333333,8.30693681662274,19,1,0,1,False,True,False,False,False,False,False,False,False,False,True
2024-01-01 20:00:00-05:00,18.3,20.4,20.4,6.1,27.0,21.7,6.8,79.0,7.5,91.0,0.0,19.079166666666666,8.291796845529698,20,1,0,1,False,True,False,False,False,False,False,False,False,False,True
2024-01-01 21:00:00-05:00,14.9,18.3,28.8,6.7,22.5,24.6,7.1,87.0,7.4,32.0,0.0,18.675,8.24727886612622,21,1,0,1,False,True,False,False,False,False,False,False,False,False,True
2024-01-01 22:00:00-05:00,12.0,14.9,20.4,10.6,12.5,27.8,7.1,79.0,7.0,16.0,0.0,18.01666666666667,8.116792398514313,22,1,0,1,False,True,False,False,False,False,False,False,False,False,True
2024-01-01 23:00:00-05:00,9.9,12.0,18.3,20.4,8.1,30.5,11.2,70.0,4.9,1.0,0.0,17.158333333333335,7.823204984652012,23,1,0,1,False,True,False,False,False,False,False,False,False,False,True
2024-01-02 00:00:00-05:00,8.4,9.9,14.9,28.8,6.1,31.9,13.7,73.0,3.4,0.0,0.0,16.179166666666664,7.354500495358738,0,1,0,1,False,False,False,False,False,True,False,False,False,False,True
2024-01-02 01:00:00-05:00,7.5,8.4,12.0,20.4,5.7,28.3,14.3,78.0,2.0,0.0,0.0,15.312499999999998,7.084662705603842,1,1,0,1,False,False,False,False,False,True,False,False,False,False,True
2024-01-02 02:00:00-05:00,6.7,7.5,9.9,18.3,6.1,22.8,13.7,78.0,2.2,0.0,0.0,14.641666666666667,7.107064254587869,2,1,0,1,False,False,False,False,False,True,False,False,False,False,True
2024-01-02 03:00:00-05:00,5.9,6.7,8.4,14.9,6.7,20.4,12.8,79.0,1.7,0.0,0.0,14.0375,7.211814732723691,3,1,0,1,False,False,False,False,False,True,False,False,False,False,True
2024-01-02 04:00:00-05:00,5.3,5.9,7.5,12.0,10.6,19.4,12.4,79.0,0.7,0.0,0.0,13.450000000000001,7.329333560070975,4,1,0,1,False,False,False,False,False,True,False,False,False,False,True
2024-01-02 05:00:00-05:00,4.8,5.3,6.7,9.9,20.4,19.2,10.8,80.0,-0.4,0.0,0.0,12.850000000000001,7.426919309833834,5,1,0,1,False,False,False,False,False,True,False,False,False,False,True
2024-01-02 06:00:00-05:00,4.9,4.8,5.9,8.4,28.8,19.9,9.7,83.0,-1.2,0.0,0.0,12.225,7.438983684675591,6,1,0,1,False,False,False,False,False,True,False,False,False,False,True
2024-01-02 07:00:00-05:00,4.7,4.9,5.3,7.5,20.4,19.9,8.8,87.0,-1.8,0.0,0.0,11.591666666666667,7.404106772693742,7,1,0,1,False,False,False,False,False,True,False,False,False,False,True
2024-01-02 08:00:00-05:00,7.0,4.7,4.8,6.7,18.3,27.0,8.4,88.0,-2.3,0.0,0.0,10.758333333333333,6.685085064443134,8,1,0,1,False,False,False,False,False,True,False,False,False,False,True
2024-01-02 09:00:00-05:00,6.0,7.0,4.9,5.9,14.9,22.5,7.0,89.0,-2.8,0.0,0.0,10.070833333333335,6.259981884031766,9,1,0,1,False,False,False,False,False,True,False,False,False,False,True
2024-01-02 10:00:00-05:00,4.5,6.0,4.7,5.3,12.0,12.5,6.4,80.0,-3.4,0.0,0.0,9.7375,6.337521974921176,10,1,0,1,False,False,False,False,False,True,False,False,False,False,True
2024-01-02 11:00:00-05:00,4.7,4.5,7.0,4.8,9.9,8.1,8.1,67.0,-3.9,0.0,0.0,9.595833333333333,6.413266085549397,11,1,0,1,False,False,False,False,False,True,False,False,False,False,True
2024-01-02 12:00:00-05:00,5.0,4.7,6.0,4.9,8.4,6.1,9.0,61.0,-4.3,0.0,0.0,9.549999999999999,6.443196614157896,12,1,0,1,False,False,False,False,False,True,False,False,False,False,True
2024-01-02 13:00:00-05:00,5.2,5.0,4.5,4.7,7.5,5.7,9.6,59.0,-4.6,0.0,0.0,9.529166666666667,6.4569799891056086,13,1,0,1,False,False,False,False,False,True,False,False,False,False,True
2024-01-02 14:00:00-05:00,5.3,5.2,4.7,7.0,6.7,6.1,9.2,54.0,-2.8,0.0,0.0,9.495833333333334,6.477484694772702,14,1,0,1,False,False,False,False,False,True,False,False,False,False,True
2024-01-02 15:00:00-05:00,5.5,5.3,5.0,6.0,5.9,6.7,9.9,50.0,-1.0,0.0,0.0,9.445833333333333,6.504578933447529,15,1,0,1,False,False,False,False,False,True,False,False,False,False,True
2024-01-02 16:00:00-05:00,7.0,5.5,5.2,4.5,5.3,10.6,10.8,48.0,0.7,0.0,0.0,9.295833333333333,6.518300603195844,16,1,0,1,False,False,False,False,False,True,False,False,False,False,True
2024-01-02 17:00:00-05:00,12.2,7.0,5.3,4.7,4.8,20.4,12.0,47.0,2.3,0.0,0.0,8.954166666666666,6.113277009681598,17,1,0,1,False,False,False,False,False,True,False,False,False,False,True
2024-01-02 18:00:00-05:00,15.5,12.2,5.5,5.0,4.9,28.8,11.8,53.0,3.7,0.0,0.0,8.4,4.668022577345662,18,1,0,1,False,False,False,False,False,True,False,False,False,False,True
2024-01-02 19:00:00-05:00,23.2,15.5,7.0,5.2,4.7,20.4,7.7,69.0,4.9,0.0,0.0,8.516666666666667,5.00388255055115,19,1,0,1,False,False,False,False,False,True,False,False,False,False,True
2024-01-02 20:00:00-05:00,19.8,23.2,12.2,5.3,7.0,18.3,9.6,76.0,5.6,0.0,0.0,8.579166666666667,5.1389373936867555,20,1,0,1,False,False,False,False,False,True,False,False,False,False,True
2024-01-02 21:00:00-05:00,16.5,19.8,15.5,5.5,6.0,14.9,9.7,79.0,5.7,0.0,0.0,8.645833333333334,5.2340008113061804,21,1,0,1,False,False,False,False,False,True,False,False,False,False,True
