time,pm10 (μg/m³),pm2_5 (μg/m³),ozone (μg/m³),nitrogen_dioxide (μg/m³)
2024-01-01 00:00:00,27.8,19.3,0,56.8
2024-01-01 01:00:00,31.3,21.7,0,55.6
2024-01-01 02:00:00,35.5,24.6,0,54.0
2024-01-01 03:00:00,40.0,27.8,0,52.5
2024-01-01 04:00:00,43.9,30.5,0,51.5
2024-01-01 05:00:00,46.1,31.9,0,50.7
2024-01-01 06:00:00,41.1,28.3,0,50.1
2024-01-01 07:00:00,33.3,22.8,1,49.6
2024-01-01 08:00:00,29.8,20.4,2,49.1
2024-01-01 09:00:00,28.3,19.4,2,48.8
2024-01-01 10:00:00,28.0,19.2,1,48.6
2024-01-01 11:00:00,29.2,19.9,0,48.5
2024-01-01 12:00:00,28.9,19.9,0,49.8
2024-01-01 13:00:00,38.9,27.0,5,45.8
2024-01-01 14:00:00,32.6,22.5,12,40.2
2024-01-01 15:00:00,18.1,12.5,19,35.0
2024-01-01 16:00:00,11.7,8.1,27,29.7
2024-01-01 17:00:00,8.8,6.1,34,24.8
2024-01-01 18:00:00,8.2,5.7,37,23.4
2024-01-01 19:00:00,8.7,6.1,31,28.3
2024-01-01 20:00:00,9.6,6.7,20,36.7
2024-01-01 21:00:00,15.2,10.6,11,43.8
2024-01-01 22:00:00,29.2,20.4,6,47.6
2024-01-01 23:00:00,41.2,28.8,2,50.0
2024-01-02 00:00:00,29.5,20.4,0,53.5
2024-01-02 01:00:00,26.5,18.3,1,54.0
2024-01-02 02:00:00,21.5,14.9,3,54.3
2024-01-02 03:00:00,17.4,12.0,8,51.5
2024-01-02 04:00:00,14.3,9.9,18,42.8
2024-01-02 05:00:00,12.2,8.4,31,31.0
2024-01-02 06:00:00,10.8,7.5,41,22.3
2024-01-02 07:00:00,9.7,6.7,45,18.3
2024-01-02 08:00:00,8.6,5.9,47,17.3
2024-01-02 09:00:00,7.6,5.3,44,20.0
2024-01-02 10:00:00,7.0,4.8,34,29.9
2024-01-02 11:00:00,7.0,4.9,20,43.5
2024-01-02 12:00:00,6.7,4.7,18,46.7
2024-01-02 13:00:00,10.0,7.0,28,39.0
2024-01-02 14:00:00,8.6,6.0,41,28.3
2024-01-02 15:00:00,6.4,4.5,51,20.0
2024-01-02 16:00:00,6.8,4.7,55,16.0
2024-01-02 17:00:00,7.2,5.0,56,14.5
